Date,Close
2025/5/29,86.15
2025/5/30,86.28
2025/6/2,85.16
2025/6/3,85.01
2025/6/4,86.39
2025/6/5,86.45
2025/6/6,85.35
2025/6/9,85.44
2025/6/10,85.88
2025/6/11,86.14
2025/6/12,87.17
2025/6/13,86.33
2025/6/16,85.46
2025/6/17,86.5
2025/6/18,86.65
2025/6/20,86.49
2025/6/23,86.77
2025/6/24,87.4
2025/6/25,87.51
2025/6/26,87.95
2025/6/27,87.39
2025/6/30,88.25
2025/7/1,88.14
2025/7/2,87.58
2025/7/3,86.97
2025/7/7,86.14
2025/7/8,86.03
2025/7/9,86.93
2025/7/10,86.99
2025/7/11,85.79
2025/7/14,85.61
2025/7/15,85.01
2025/7/16,85.13
2025/7/17,85.11
2025/7/18,85.24
2025/7/21,86
2025/7/22,86.52
2025/7/23,86.04
2025/7/24,85.89
2025/7/25,86.43
2025/7/28,85.87
2025/7/29,87.32
2025/7/30,86.87
2025/7/31,86.92
2025/8/1,87.82
2025/8/4,88.06
2025/8/5,88.33
2025/8/6,87.82
2025/8/7,87.67
2025/8/8,87.29
2025/8/11,87.39
2025/8/12,86.95
2025/8/13,87.67
2025/8/14,87.02
2025/8/15,86.4
2025/8/18,86.15
2025/8/19,86.65
2025/8/20,86.84
2025/8/21,86.41
2025/8/22,87.05
2025/8/25,86.8
2025/8/26,86.75
2025/8/27,86.65
2025/8/28,87.22
2025/8/29,86.6
