,Close
2023-05-07,104.89
2023-05-08,103.42
2023-05-09,103.05
2023-05-10,104.05
2023-05-11,105.15
2023-05-12,104.27
2023-05-13,104.27
2023-05-14,104.27
2023-05-15,103.19
2023-05-16,102.88
2023-05-17,102.58
2023-05-18,101.82
2023-05-19,101.1
2023-05-20,101.1
2023-05-21,101.1
2023-05-22,100.74
2023-05-23,101.03
2023-05-24,100.53
2023-05-25,100.28
2023-05-26,101.09
2023-05-27,101.09
2023-05-28,101.09
2023-05-29,101.09
2023-05-30,102.1
2023-05-31,102.99
2023-06-01,103.12
2023-06-02,101.99
2023-06-03,101.99
2023-06-04,101.99
2023-06-05,101.8
2023-06-06,102.4
2023-06-07,100.88
2023-06-08,102.06
2023-06-09,101.92
2023-06-10,101.92
2023-06-11,101.92
2023-06-12,102.22
2023-06-13,101.21
2023-06-14,102.02
2023-06-15,103.0
2023-06-16,102.6
2023-06-17,102.6
2023-06-18,102.6
2023-06-19,102.6
2023-06-20,103.31
2023-06-21,103.56
2023-06-22,102.31
2023-06-23,103.33
2023-06-24,103.33
2023-06-25,103.33
2023-06-26,103.44
2023-06-27,103.17
2023-06-28,103.61
2023-06-29,101.74
2023-06-30,102.94
2023-07-01,102.94
2023-07-02,102.94
2023-07-03,102.08
2023-07-04,102.08
2023-07-05,101.11
2023-07-06,99.68
2023-07-07,99.08
2023-07-08,99.08
2023-07-09,99.08
2023-07-10,99.21
2023-07-11,99.72
2023-07-12,100.83
2023-07-13,101.89
2023-07-14,101.29
2023-07-15,101.29
2023-07-16,101.29
2023-07-17,101.34
2023-07-18,101.8
2023-07-19,102.95
2023-07-20,101.7
2023-07-21,101.73
2023-07-22,101.73
2023-07-23,101.73
2023-07-24,101.36
2023-07-25,101.17
2023-07-26,101.27
2023-07-27,99.3
2023-07-28,99.81
2023-07-29,99.81
2023-07-30,99.81
2023-07-31,100.05
2023-08-01,98.14
2023-08-02,97.09
2023-08-03,94.85
2023-08-04,96.53
2023-08-05,96.53
2023-08-06,96.53
2023-08-07,95.58
2023-08-08,96.69
2023-08-09,97.19
2023-08-10,95.59
2023-08-11,95.37
2023-08-12,95.37
2023-08-13,95.37
2023-08-14,95.16
2023-08-15,94.58
2023-08-16,93.84
2023-08-17,93.44
2023-08-18,93.77
2023-08-19,93.77
2023-08-20,93.77
2023-08-21,92.52
2023-08-22,93.23
2023-08-23,95.54
2023-08-24,94.91
2023-08-25,95.22
2023-08-26,95.22
2023-08-27,95.22
2023-08-28,95.32
2023-08-29,96.31
2023-08-30,96.21
2023-08-31,96.64
2023-09-01,94.85
2023-09-02,94.85
2023-09-03,94.85
2023-09-04,94.85
2023-09-05,93.52
2023-09-06,93.75
2023-09-07,94.01
2023-09-08,94.37
2023-09-09,94.37
2023-09-10,94.37
2023-09-11,93.69
2023-09-12,94.23
2023-09-13,94.21
2023-09-14,93.53
2023-09-15,92.96
2023-09-16,92.96
2023-09-17,92.96
2023-09-18,93.49
2023-09-19,92.8
2023-09-20,93.09
2023-09-21,90.7
2023-09-22,91.43
2023-09-23,91.43
2023-09-24,91.43
2023-09-25,89.18
2023-09-26,88.87
2023-09-27,88.41
2023-09-28,88.68
2023-09-29,88.69
2023-09-30,88.69
2023-10-01,88.69
2023-10-02,86.93
2023-10-03,85.06
2023-10-04,86.26
2023-10-05,85.83
2023-10-06,84.79
2023-10-07,84.79
2023-10-08,84.79
2023-10-09,86.78
2023-10-10,86.66
2023-10-11,88.47
2023-10-12,86.07
2023-10-13,87.61
2023-10-14,87.61
2023-10-15,87.61
2023-10-16,86.2
2023-10-17,85.25
2023-10-18,84.5
2023-10-19,82.77
2023-10-20,83.24
2023-10-21,83.24
2023-10-22,83.24
2023-10-23,84.24
2023-10-24,85.35
2023-10-25,83.45
2023-10-26,84.73
2023-10-27,84.37
2023-10-28,84.37
2023-10-29,84.37
2023-10-30,83.99
2023-10-31,83.58
2023-11-01,85.1
2023-11-02,87.04
2023-11-03,87.63
2023-11-04,87.63
2023-11-05,87.63
2023-11-06,86.78
2023-11-07,88.06
2023-11-08,89.56
2023-11-09,87.5
2023-11-10,87.99
